clean_text,rating,parent_asin,category,is_fake
I was really funny with this thing. Feels like a luxury purchase.,5,FAKE-90131,Beauty,1
I bought the choice. Truly remarkable. High quality through and through. This made the perfect gift.,4,FAKE-41341,Beauty,1
This present was great! I appreciated it. Can't stop recommending it!,3,FAKE-44180,Beauty,1
I never expected a gift to be so dull! Fell apart after one use.,2,FAKE-14005,Beauty,1
Such a underwhelming choice! I was disappointed by it. Never buying from here again. Customer service was awful.,2,FAKE-85841,Beauty,1
"Honestly, this thing was just mediocre. Disappointed in this one. Expected much better for the price.",2,FAKE-19215,Beauty,1
I was really good with this thing. but shipping took a while. Absolutely worth every penny. Feels like a luxury purchase.,4,FAKE-85790,Beauty,1
"It's a ignorant set, that's for sure. Not worth the money. Will not be re-purchasing.",5,FAKE-13311,Beauty,1
I can't believe how great this present was! Would definitely buy again. Five stars without hesitation. Brightened up my whole week.,4,FAKE-54276,Beauty,1
I returned the essential. Truly awful. Expected much better for the price. Will not be re-purchasing. Extremely disappointed.,4,FAKE-66307,Beauty,1
I treasured the product. Truly touching. Made my day better!,4,FAKE-74816,Beauty,1
I never expected a choice to be so fabulous! Five stars without hesitation.,1,FAKE-60591,Beauty,1
I can't believe how weird this experience was! Extremely disappointed.,3,FAKE-80956,Beauty,1
This device completely relished me! Loved it so much!,3,FAKE-58262,Beauty,1
My experience with this essential was simply faulty. Very cheaply made.,1,FAKE-22535,Beauty,1
This accessory exceeded all my expectations. Truly incomplete. Regret buying this. Very cheaply made. Expected much better for the price.,1,FAKE-58872,Beauty,1
I was disappointed by this accessory. It is absolutely dirty. Fell apart after one use. Broke way too easily. Would not recommend to anyone.,1,FAKE-38514,Beauty,1
I complained about this pair. It is absolutely horrible. but the instructions were confusing. It was just okay.,1,FAKE-61081,Beauty,1
I found the purchase to be fantastic overall. Everything about it was perfect. Thoroughly enjoyed this a lot.,4,FAKE-26589,Beauty,1
I can't believe how charming this purchase was! Thoroughly enjoyed this a lot.,3,FAKE-63453,Fashion,1
I can't believe how impressive this experience was! Can't stop recommending it! This made the perfect gift. Thoroughly enjoyed this a lot.,4,FAKE-64830,Fashion,1
I found the investment to be adorable overall. Absolutely worth every penny. It brought a smile to my face.,3,FAKE-46280,Fashion,1
I can't believe how nasty this gift was! Fell apart after one use. Waste of time and money. Will not be re-purchasing.,1,FAKE-10523,Fashion,1
"I appreciated my addition, it was memorable! but color was slightly off. Made my day better! Feels like a luxury purchase.",3,FAKE-82815,Fashion,1
I found the accessory to be charming overall. Can't stop recommending it!,1,FAKE-85490,Fashion,1
My choice experience was outstanding. It brought a smile to my face. Can't stop recommending it! Would definitely buy again.,4,FAKE-34625,Fashion,1
"It's a ignorant quality, that's for sure. Fell apart after one use. Disappointed in this one. Never buying from here again.",1,FAKE-18275,Fashion,1
This gift was horrible! I regretted it. Fell apart after one use. It was just okay.,2,FAKE-41588,Fashion,1
"I satisfied my thing, it was flimsy! Waste of time and money. Would not recommend to anyone.",1,FAKE-82845,Fashion,1
I found the gift to be good overall. but it wasn't exactly what I expected. Brightened up my whole week. Loved it so much! High quality through and through.,2,FAKE-10425,Fashion,1
"It's a incomplete gadget, that's for sure. Would give zero stars if I could. Disappointed in this one.",1,FAKE-75892,Fashion,1
"Honestly, this item was just good. Everything about it was perfect. Feels like a luxury purchase. Loved it so much!",2,FAKE-44143,Fashion,1
This set was funny! I wowed by it. Absolutely worth every penny. Shipping was quick. This made the perfect gift.,5,FAKE-58939,Fashion,1
I can't believe how funny this thing was! Thoroughly enjoyed this a lot.,4,FAKE-55366,Fashion,1
This set was lovely! I loved it. Everything about it was perfect. Can't stop recommending it!,2,FAKE-72784,Fashion,1
"Honestly, this set was just memorable. Brightened up my whole week. Five stars without hesitation.",4,FAKE-51610,Fashion,1
This essential exceeded all my expectations. Truly bad. Extremely disappointed. Never buying from here again.,1,FAKE-24370,Fashion,1
My device experience was poor. Will not be re-purchasing. Expected much better for the price. Waste of time and money.,5,FAKE-13237,Fashion,1
I was really touching with this product. but it wasn't exactly what I expected. Can't stop recommending it! It brought a smile to my face.,4,FAKE-32767,Fashion,1
I can't believe how dull this essential was! Regret buying this. Customer service was awful. Disappointed in this one.,4,FAKE-19219,Fashion,1
I can't believe how dirty this pair was! Fell apart after one use.,1,FAKE-12732,Fashion,1
"I endorsed my essential, it was fabulous! Loved it so much!",5,FAKE-92237,Fashion,1
My quality experience was okay. Fell apart after one use. Regret buying this.,1,FAKE-21184,Fashion,1
"Honestly, this pair was just exceptional. Brightened up my whole week.",1,FAKE-79709,Fashion,1
My experience with this essential was simply weird. but it was smaller than expected. Shipping was quick.,2,FAKE-61972,Fashion,1
I never expected a purchase decision to be so gross! Would not recommend to anyone.,4,FAKE-48422,Fashion,1
I was disappointed by this item. It is absolutely shoddy. Disappointed in this one. Expected much better for the price. It was just okay.,1,FAKE-23632,Fashion,1
"Honestly, this device was just exceptional. Shipping was quick.",5,FAKE-25929,Fashion,1
I never expected a present to be so incredible! Exceeded my expectations. It brought a smile to my face. This made the perfect gift.,1,FAKE-90326,Fashion,1
My experience with this set was simply touching. This made the perfect gift.,4,FAKE-56913,Fashion,1
"Honestly, this present was just bad. Not worth the money.",1,FAKE-18526,Fashion,1
I never expected a set to be so careless! Never buying from here again. Waste of time and money.,1,FAKE-53065,Fashion,1
"It's a nasty device, that's for sure. Regret buying this. Expected much better for the price.",3,FAKE-43785,Fashion,1
I admired the essential. Truly exceptional. Feels like a luxury purchase.,2,FAKE-77841,Fashion,1
I was really heartwarming with this gadget. Absolutely worth every penny. Can't stop recommending it!,4,FAKE-58691,Fashion,1
My device experience was funny. but customer service could have been better. Shipping was quick. Thoroughly enjoyed this a lot. It brought a smile to my face.,4,FAKE-28477,Fashion,1
I never expected a present to be so terrible! Would not recommend to anyone. Expected much better for the price. Will not be re-purchasing.,5,FAKE-86435,Fashion,1
My purchase experience was remarkable. Would definitely buy again.,2,FAKE-46805,Fashion,1
I was really fabulous with this item. Everything about it was perfect.,5,FAKE-19310,Fashion,1
I abandoned the gadget. Truly mediocre. but shipping took a while. Would give zero stars if I could.,2,FAKE-27366,Fashion,1
I embraced the item. Truly perfect. Made my day better! Loved it so much!,3,FAKE-26432,Fashion,1
I was thrilled with the addition. Truly cute. Made my day better! Shipping was quick. Thoroughly enjoyed this a lot.,5,FAKE-40997,Fashion,1
This pair completely satisfied me! This made the perfect gift. Brightened up my whole week. Made my day better!,4,FAKE-34253,Fashion,1
This tool completely swooned me! but it was smaller than expected. Everything about it was perfect.,2,FAKE-95235,Fashion,1
I found the accessory to be unreliable overall. Not worth the money. Extremely disappointed.,2,FAKE-96520,Fashion,1
"It's a okay present, that's for sure. Would not recommend to anyone.",2,FAKE-55173,Fashion,1
I found the thing to be good overall. Loved it so much!,1,FAKE-41075,Fashion,1
This experience completely treasured me! It brought a smile to my face. Feels like a luxury purchase. High quality through and through.,4,FAKE-85322,Fashion,1
I found the product to be lovely overall. Five stars without hesitation. Would definitely buy again.,3,FAKE-13589,Fashion,1
I recommended the device. Truly great. Thoroughly enjoyed this a lot.,2,FAKE-44741,Fashion,1
I found the item to be disappointing overall. Fell apart after one use.,1,FAKE-98850,Fashion,1
"Honestly, this product was just broken. It was just okay.",3,FAKE-52764,Fashion,1
I never expected a gift to be so flimsy! but shipping took a while. Waste of time and money. Would not recommend to anyone.,1,FAKE-29880,Fashion,1
"It's a disappointing experience, that's for sure. Extremely disappointed. Very cheaply made. It was just okay.",5,FAKE-59797,Fashion,1
I bought the addition. Truly great. Can't stop recommending it!,1,FAKE-16714,Fashion,1
"It's a perfect present, that's for sure. Shipping was quick.",2,FAKE-16277,Fashion,1
I can't believe how okay this choice was! Customer service was awful. Will not be re-purchasing.,1,FAKE-56636,Fashion,1
This product exceeded all my expectations. Truly gorgeous. but packaging could be better. Exceeded my expectations. Made my day better! It brought a smile to my face.,2,FAKE-80675,Fashion,1
"Honestly, this purchase decision was just poor. It was just okay. Regret buying this.",5,FAKE-56071,Fashion,1
I found the quality to be uncomfortable overall. Would give zero stars if I could. Not worth the money. Expected much better for the price.,5,FAKE-34166,Fashion,1
Such a heartwarming thing! I swooned it. Five stars without hesitation.,2,FAKE-62974,Fashion,1
I can't believe how mediocre this purchase decision was! but packaging could be better. Customer service was awful. Not worth the money. Disappointed in this one.,5,FAKE-97875,Fashion,1
Such a stellar gift! I celebrated it. but color was slightly off. It brought a smile to my face. Exceeded my expectations. High quality through and through.,2,FAKE-46516,Fashion,1
I can't believe how heartwarming this investment was! This made the perfect gift.,1,FAKE-28901,Fashion,1
I was disappointed by this purchase decision. It is absolutely flimsy. Never buying from here again.,3,FAKE-37009,Fashion,1
I endorsed this accessory. It is absolutely perfect. Five stars without hesitation. Absolutely worth every penny.,1,FAKE-48081,Fashion,1
Such a delightful device! I smiled it. Loved it so much!,2,FAKE-12795,Fashion,1
This gadget completely wished I hadn't bought me! Extremely disappointed. Would give zero stars if I could.,1,FAKE-32385,Fashion,1
"Honestly, this product was just beautiful. High quality through and through.",5,FAKE-57327,Fashion,1
My experience with this tool was simply finicky. Waste of time and money. Never buying from here again. Broke way too easily.,4,FAKE-40021,Fashion,1
Such a weird accessory! I treasured it. High quality through and through. Shipping was quick.,5,FAKE-36567,Fashion,1
I never expected a present to be so cheap! Disappointed in this one. Would give zero stars if I could.,1,FAKE-88345,Fashion,1
I can't believe how good this addition was! Five stars without hesitation. It brought a smile to my face. This made the perfect gift.,1,FAKE-12543,Fashion,1
I misled the experience. Truly cheap. Not worth the money.,3,FAKE-49159,Fashion,1
My experience with this gift was simply perfect. Would definitely buy again.,4,FAKE-46218,Fashion,1
This quality exceeded all my expectations. Truly careless. Never buying from here again.,1,FAKE-62536,Fashion,1
I satisfied this accessory. It is absolutely weird. Never buying from here again. Fell apart after one use.,1,FAKE-73534,Fashion,1
I never expected a gift to be so brutal! but color was slightly off. Never buying from here again. Customer service was awful.,2,FAKE-39787,Fashion,1
This investment was awful! I abandoned it. Fell apart after one use.,3,FAKE-61853,Fashion,1
My experience with this purchase was simply nasty. Disappointed in this one. Would not recommend to anyone. Fell apart after one use.,4,FAKE-47881,Fashion,1
Such a spectacular experience! I liked it. It brought a smile to my face. High quality through and through. Brightened up my whole week.,5,FAKE-29886,Fashion,1
My device experience was dull. Not worth the money. Would not recommend to anyone. Broke way too easily.,5,FAKE-69178,Fashion,1
My experience experience was fantastic. This made the perfect gift. It brought a smile to my face.,1,FAKE-89472,Fashion,1
This pair exceeded all my expectations. Truly uncomfortable. Regret buying this. Never buying from here again.,4,FAKE-52954,Fashion,1
I satisfied this accessory. It is absolutely brutal. but the price was a little high. Not worth the money.,4,FAKE-40553,Fashion,1
I found the product to be impressive overall. High quality through and through.,3,FAKE-59539,Fashion,1
I never expected a purchase to be so disappointing! Fell apart after one use. Would not recommend to anyone. Never buying from here again.,4,FAKE-92274,Fashion,1
I loved this experience. It is absolutely breathtaking. Can't stop recommending it!,4,FAKE-62070,Fashion,1
This pair completely complained about me! but it wasn't exactly what I expected. Broke way too easily. Regret buying this. Never buying from here again.,2,FAKE-32256,Fashion,1
"Honestly, this set was just memorable. Everything about it was perfect. This made the perfect gift.",5,FAKE-63032,Fashion,1
"I was annoyed by my experience, it was boring! Broke way too easily.",5,FAKE-61101,Fashion,1
I was really faulty with this item. Fell apart after one use. Would give zero stars if I could. Very cheaply made.,1,FAKE-46319,Fashion,1
Such a dirty gadget! I was annoyed by it. Waste of time and money. Disappointed in this one. Never buying from here again.,5,FAKE-22350,Fashion,1
I found the accessory to be ignorant overall. but the price was a little high. Never buying from here again.,1,FAKE-61150,Fashion,1
"I appreciated my present, it was outstanding! Thoroughly enjoyed this a lot. It brought a smile to my face. High quality through and through.",5,FAKE-73713,Fashion,1
My experience with this pair was simply underwhelming. Extremely disappointed. Regret buying this.,4,FAKE-26842,Fashion,1
Such a mediocre purchase decision! I complained about it. Extremely disappointed. Never buying from here again. Would give zero stars if I could.,1,FAKE-74480,Fashion,1
This thing exceeded all my expectations. Truly cheap. but the price was a little high. Would give zero stars if I could. Regret buying this.,3,FAKE-89402,Fashion,1
I found the device to be dull overall. It was just okay. Very cheaply made.,1,FAKE-29033,Fashion,1
I never expected a accessory to be so shoddy! Would not recommend to anyone. Customer service was awful.,3,FAKE-58266,CDs_and_Vinyl,1
I endorsed the purchase. Truly weird. Shipping was quick. Made my day better!,2,FAKE-46232,CDs_and_Vinyl,1
This purchase was ignorant! I regretted it. Disappointed in this one. Very cheaply made.,2,FAKE-47148,CDs_and_Vinyl,1
I was really weird with this item. It brought a smile to my face. High quality through and through. Feels like a luxury purchase.,4,FAKE-93457,CDs_and_Vinyl,1
I satisfied this set. It is absolutely okay. Fell apart after one use.,5,FAKE-14539,CDs_and_Vinyl,1
I found the thing to be boring overall. but packaging could be better. It was just okay. Will not be re-purchasing.,5,FAKE-62186,CDs_and_Vinyl,1
I never expected a investment to be so disappointing! Very cheaply made. Would give zero stars if I could. It was just okay.,3,FAKE-45598,CDs_and_Vinyl,1
This set completely misled me! Broke way too easily. Extremely disappointed. Disappointed in this one.,3,FAKE-15817,CDs_and_Vinyl,1
My gadget experience was bad. Waste of time and money.,2,FAKE-57716,CDs_and_Vinyl,1
I was disappointed by the set. Truly shoddy. Not worth the money. Expected much better for the price. Would not recommend to anyone.,3,FAKE-41356,CDs_and_Vinyl,1
I never expected a set to be so faulty! Fell apart after one use. Extremely disappointed.,2,FAKE-92866,CDs_and_Vinyl,1
Such a broken quality! I was disappointed by it. Would give zero stars if I could. Waste of time and money. Very cheaply made.,3,FAKE-23430,CDs_and_Vinyl,1
I never expected a thing to be so breathtaking! Thoroughly enjoyed this a lot. Everything about it was perfect. High quality through and through.,5,FAKE-55905,CDs_and_Vinyl,1
I never expected a product to be so lovely! Can't stop recommending it!,2,FAKE-88384,CDs_and_Vinyl,1
I gifted this choice. It is absolutely charming. Loved it so much!,1,FAKE-33639,CDs_and_Vinyl,1
I liked this gift. It is absolutely cute. Shipping was quick. Loved it so much!,1,FAKE-85174,CDs_and_Vinyl,1
I can't believe how touching this purchase decision was! It brought a smile to my face.,1,FAKE-90257,CDs_and_Vinyl,1
"It's a horrible purchase, that's for sure. Would give zero stars if I could. Disappointed in this one. Expected much better for the price.",5,FAKE-66070,CDs_and_Vinyl,1
Such a exceptional item! I appreciated it. Brightened up my whole week.,4,FAKE-11195,CDs_and_Vinyl,1
I disliked this device. It is absolutely gross. Very cheaply made. Would not recommend to anyone.,2,FAKE-29310,CDs_and_Vinyl,1
My experience with this purchase was simply exceptional. This made the perfect gift.,5,FAKE-57053,CDs_and_Vinyl,1
My experience with this gadget was simply boring. Never buying from here again.,3,FAKE-19255,CDs_and_Vinyl,1
I found the device to be fantastic overall. but packaging could be better. Thoroughly enjoyed this a lot.,3,FAKE-39489,CDs_and_Vinyl,1
My experience with this essential was simply incredible. Would definitely buy again.,4,FAKE-41482,CDs_and_Vinyl,1
My choice experience was horrible. Not worth the money.,4,FAKE-31391,CDs_and_Vinyl,1
"I laughed my tool, it was exceptional! Would definitely buy again.",5,FAKE-74232,CDs_and_Vinyl,1
"It's a charming purchase, that's for sure. This made the perfect gift.",3,FAKE-45930,CDs_and_Vinyl,1
This gadget exceeded all my expectations. Truly gorgeous. Would definitely buy again. Can't stop recommending it!,5,FAKE-88509,CDs_and_Vinyl,1
This item completely complained about me! Would give zero stars if I could. Waste of time and money. Regret buying this.,5,FAKE-94982,CDs_and_Vinyl,1
I never expected a thing to be so mediocre! Waste of time and money. Extremely disappointed.,2,FAKE-43398,CDs_and_Vinyl,1
This thing was cheap! I hated it. Very cheaply made. Will not be re-purchasing.,3,FAKE-50059,CDs_and_Vinyl,1
This item completely liked me! Can't stop recommending it! Made my day better!,3,FAKE-56720,CDs_and_Vinyl,1
My device experience was boring. It was just okay.,2,FAKE-44855,CDs_and_Vinyl,1
"It's a terrible accessory, that's for sure. Fell apart after one use. Would not recommend to anyone. Expected much better for the price.",4,FAKE-66407,CDs_and_Vinyl,1
"I detested my set, it was terrible! Extremely disappointed.",3,FAKE-60923,CDs_and_Vinyl,1
My experience with this essential was simply brilliant. High quality through and through.,1,FAKE-76462,CDs_and_Vinyl,1
This product exceeded all my expectations. Truly broken. Expected much better for the price. Would give zero stars if I could.,5,FAKE-84142,CDs_and_Vinyl,1
I regretted the thing. Truly underwhelming. Broke way too easily. Customer service was awful.,5,FAKE-24271,CDs_and_Vinyl,1
My pair experience was fabulous. Absolutely worth every penny. It brought a smile to my face.,5,FAKE-19417,CDs_and_Vinyl,1
"It's a underwhelming thing, that's for sure. Extremely disappointed. Not worth the money. Fell apart after one use.",5,FAKE-62961,CDs_and_Vinyl,1
"It's a lovely gift, that's for sure. Absolutely worth every penny. Made my day better! Would definitely buy again.",1,FAKE-51339,CDs_and_Vinyl,1
My purchase decision experience was touching. Loved it so much! Made my day better!,5,FAKE-52475,CDs_and_Vinyl,1
I was thrilled with the thing. Truly fantastic. It brought a smile to my face. Everything about it was perfect. Thoroughly enjoyed this a lot.,3,FAKE-57846,CDs_and_Vinyl,1
My product experience was unreliable. Expected much better for the price. It was just okay. Extremely disappointed.,2,FAKE-97440,CDs_and_Vinyl,1
I never expected a purchase to be so okay! Exceeded my expectations.,4,FAKE-69228,CDs_and_Vinyl,1
"It's a memorable gadget, that's for sure. Five stars without hesitation. High quality through and through. It brought a smile to my face.",1,FAKE-92591,CDs_and_Vinyl,1
I found the gadget to be exceptional overall. but it wasn't exactly what I expected. Brightened up my whole week. High quality through and through. Shipping was quick.,2,FAKE-44501,CDs_and_Vinyl,1
My experience with this purchase was simply flimsy. Never buying from here again. It was just okay. Would not recommend to anyone.,2,FAKE-59149,CDs_and_Vinyl,1
I never expected a purchase to be so terrible! Waste of time and money. Never buying from here again.,2,FAKE-17387,CDs_and_Vinyl,1
Such a brilliant choice! I loved it. Shipping was quick.,2,FAKE-31001,CDs_and_Vinyl,1
I was really spectacular with this gadget. Everything about it was perfect.,1,FAKE-21488,CDs_and_Vinyl,1
I found the accessory to be careless overall. but it wasn't exactly what I expected. Fell apart after one use.,4,FAKE-80585,CDs_and_Vinyl,1
I can't believe how outstanding this tool was! Absolutely worth every penny.,2,FAKE-81961,CDs_and_Vinyl,1
My product experience was dull. Waste of time and money. Will not be re-purchasing. Extremely disappointed.,3,FAKE-32213,CDs_and_Vinyl,1
I suffered through this present. It is absolutely brutal. Never buying from here again.,2,FAKE-62574,CDs_and_Vinyl,1
I found the device to be breathtaking overall. but the price was a little high. Would definitely buy again.,4,FAKE-45705,CDs_and_Vinyl,1
I was thrilled with this product. It is absolutely amazing. This made the perfect gift.,1,FAKE-37447,CDs_and_Vinyl,1
I liked the item. Truly stellar. Absolutely worth every penny. Loved it so much!,5,FAKE-94183,CDs_and_Vinyl,1
"Honestly, this device was just fantastic. Five stars without hesitation. High quality through and through.",4,FAKE-34521,CDs_and_Vinyl,1
This purchase decision was okay! I was thrilled with it. Everything about it was perfect. Thoroughly enjoyed this a lot. Can't stop recommending it!,1,FAKE-18998,CDs_and_Vinyl,1
I recommended the gift. Truly lovely. Thoroughly enjoyed this a lot. Can't stop recommending it!,5,FAKE-67123,CDs_and_Vinyl,1
I can't believe how careless this product was! Extremely disappointed.,4,FAKE-43031,CDs_and_Vinyl,1
